call_id,date,week_start,hour,agent_id,agent_name,channel,duration_minutes,wait_time_minutes,resolved,customer_satisfaction
106,2025-01-06,2025-01-06,17,103,Carol White,Phone,19.19,13.5,True,1
107,2025-01-06,2025-01-06,19,103,Carol White,Phone,11.46,1.87,True,1
108,2025-01-06,2025-01-06,15,106,Frank Miller,WhatsApp,19.15,1.17,True,1
109,2025-01-06,2025-01-06,11,103,Carol White,Phone,20.24,2.04,True,4
110,2025-01-06,2025-01-06,11,106,Frank Miller,Phone,24.17,7.06,False,3
111,2025-01-06,2025-01-06,17,101,Alice Johnson,Phone,9.85,1.47,True,3
112,2025-01-06,2025-01-06,9,105,Emma Davis,Phone,16.18,1.45,True,2
113,2025-01-06,2025-01-06,12,102,Bob Smith,Phone,24.85,2.95,True,4
114,2025-01-06,2025-01-06,8,103,Carol White,Chat,23.91,3.58,True,4
115,2025-01-06,2025-01-06,19,101,Alice Johnson,Chat,5.72,3.25,True,1
116,2025-01-06,2025-01-06,9,101,Alice Johnson,Chat,6.99,1.67,True,2
117,2025-01-06,2025-01-06,15,104,David Brown,Email,7.67,2.59,True,1
118,2025-01-06,2025-01-06,8,106,Frank Miller,Phone,17.01,3.96,False,2
119,2025-01-06,2025-01-06,9,101,Alice Johnson,Email,14.47,3.23,True,5
120,2025-01-06,2025-01-06,17,106,Frank Miller,Chat,17.39,1.28,True,1
121,2025-01-06,2025-01-06,9,105,Emma Davis,Phone,15.14,0.94,True,1
122,2025-01-06,2025-01-06,12,102,Bob Smith,Phone,8.96,4.93,True,5
123,2025-01-06,2025-01-06,9,102,Bob Smith,Phone,15.67,0.22,True,2
124,2025-01-06,2025-01-06,11,105,Emma Davis,Chat,16.83,0.89,False,2
125,2025-01-06,2025-01-06,19,106,Frank Miller,Phone,14.68,0.97,False,1
126,2025-01-06,2025-01-06,9,106,Frank Miller,Email,5.41,1.75,False,1
127,2025-01-06,2025-01-06,17,105,Emma Davis,Phone,4.8,3.35,True,1
128,2025-01-06,2025-01-06,18,106,Frank Miller,Phone,2.88,0.73,True,4
129,2025-01-06,2025-01-06,12,104,David Brown,WhatsApp,17.51,3.33,True,3
130,2025-01-06,2025-01-06,13,104,David Brown,Phone,17.83,13.58,True,1
131,2025-01-06,2025-01-06,18,102,Bob Smith,Email,9.26,1.28,True,1
132,2025-01-06,2025-01-06,12,105,Emma Davis,Chat,27.02,4.25,True,1
133,2025-01-06,2025-01-06,18,101,Alice Johnson,Phone,12.6,5.99,True,5
134,2025-01-06,2025-01-06,9,106,Frank Miller,Chat,18.08,4.55,True,2
135,2025-01-06,2025-01-06,19,106,Frank Miller,Chat,14.85,3.95,True,4
136,2025-01-06,2025-01-06,16,102,Bob Smith,Phone,10.83,1.41,False,2
137,2025-01-06,2025-01-06,10,106,Frank Miller,Chat,17.81,2.89,False,2
138,2025-01-06,2025-01-06,11,103,Carol White,Chat,13.53,1.37,True,1
139,2025-01-06,2025-01-06,17,103,Carol White,Phone,22.39,3.49,True,1
140,2025-01-06,2025-01-06,12,106,Frank Miller,Email,17.56,4.52,False,1
141,2025-01-06,2025-01-06,10,105,Emma Davis,Email,12.45,5.52,True,4
142,2025-01-06,2025-01-06,13,105,Emma Davis,Chat,17.47,2.03,False,2
143,2025-01-06,2025-01-06,17,102,Bob Smith,WhatsApp,13.87,2.71,False,1
144,2025-01-06,2025-01-06,8,101,Alice Johnson,Phone,16.12,5.84,True,1
145,2025-01-06,2025-01-06,15,104,David Brown,Email,17.37,0.86,True,5
146,2025-01-06,2025-01-06,8,106,Frank Miller,Phone,17.89,0.06,True,3
147,2025-01-06,2025-01-06,9,105,Emma Davis,Email,17.67,0.32,True,4
148,2025-01-06,2025-01-06,16,106,Frank Miller,Phone,13.06,0.9,True,1
149,2025-01-06,2025-01-06,16,101,Alice Johnson,WhatsApp,7.53,2.14,True,1
150,2025-01-06,2025-01-06,11,101,Alice Johnson,Chat,16.35,3.53,True,2
151,2025-01-06,2025-01-06,11,102,Bob Smith,Chat,10.0,0.83,False,2
152,2025-01-06,2025-01-06,17,104,David Brown,Phone,10.33,0.28,False,1
153,2025-01-06,2025-01-06,10,101,Alice Johnson,Chat,17.62,3.0,True,2
154,2025-01-06,2025-01-06,10,104,David Brown,Chat,21.03,3.6,True,4
155,2025-01-06,2025-01-06,9,104,David Brown,Phone,19.69,0.11,True,1
156,2025-01-06,2025-01-06,18,105,Emma Davis,Email,17.53,0.81,False,3
157,2025-01-06,2025-01-06,12,102,Bob Smith,Email,17.9,0.83,True,2
158,2025-01-06,2025-01-06,15,103,Carol White,Chat,15.48,0.01,True,5
159,2025-01-07,2025-01-06,18,101,Alice Johnson,Phone,9.04,6.76,True,5
160,2025-01-07,2025-01-06,17,102,Bob Smith,Email,6.87,0.54,True,1
161,2025-01-07,2025-01-06,19,106,Frank Miller,Phone,15.32,0.26,False,2
162,2025-01-07,2025-01-06,16,101,Alice Johnson,Email,12.18,1.71,True,1
163,2025-01-07,2025-01-06,15,104,David Brown,Email,13.44,8.56,False,3
164,2025-01-07,2025-01-06,8,103,Carol White,WhatsApp,13.51,1.35,True,5
165,2025-01-07,2025-01-06,17,103,Carol White,Chat,18.58,7.13,True,3
166,2025-01-07,2025-01-06,17,102,Bob Smith,Phone,2.39,0.56,True,2
167,2025-01-07,2025-01-06,16,102,Bob Smith,Phone,7.89,3.2,False,3
168,2025-01-07,2025-01-06,11,102,Bob Smith,Phone,14.11,4.31,True,5
169,2025-01-07,2025-01-06,8,101,Alice Johnson,Phone,11.54,1.75,True,5
170,2025-01-07,2025-01-06,14,102,Bob Smith,Email,24.7,2.78,True,3
171,2025-01-07,2025-01-06,17,104,David Brown,Email,11.32,0.49,True,4
172,2025-01-07,2025-01-06,11,103,Carol White,Phone,8.02,0.76,False,1
173,2025-01-07,2025-01-06,16,106,Frank Miller,Phone,7.42,3.83,True,1
174,2025-01-07,2025-01-06,9,106,Frank Miller,WhatsApp,3.63,1.48,False,1
175,2025-01-07,2025-01-06,17,101,Alice Johnson,Phone,19.34,0.08,True,4
176,2025-01-07,2025-01-06,11,105,Emma Davis,Chat,23.63,4.96,True,3
177,2025-01-07,2025-01-06,19,103,Carol White,Phone,12.76,0.96,True,5
178,2025-01-07,2025-01-06,16,103,Carol White,Phone,12.32,2.92,False,2
179,2025-01-07,2025-01-06,14,105,Emma Davis,Chat,18.61,0.96,False,2
180,2025-01-07,2025-01-06,14,103,Carol White,Email,20.36,2.02,True,2
181,2025-01-07,2025-01-06,11,105,Emma Davis,Phone,12.02,1.01,True,3
182,2025-01-07,2025-01-06,13,104,David Brown,Phone,13.27,2.67,True,5
183,2025-01-07,2025-01-06,12,105,Emma Davis,Chat,14.39,2.38,True,4
184,2025-01-07,2025-01-06,19,102,Bob Smith,Phone,19.97,0.04,True,2
185,2025-01-07,2025-01-06,8,105,Emma Davis,Phone,9.82,4.58,True,1
186,2025-01-07,2025-01-06,13,106,Frank Miller,Phone,19.43,0.15,True,4
187,2025-01-07,2025-01-06,14,102,Bob Smith,Chat,6.0,0.86,True,1
188,2025-01-07,2025-01-06,17,102,Bob Smith,Phone,14.45,0.46,True,5
189,2025-01-07,2025-01-06,10,105,Emma Davis,Email,11.2,4.3,True,4
190,2025-01-07,2025-01-06,13,106,Frank Miller,Phone,12.91,1.17,True,5
191,2025-01-07,2025-01-06,10,101,Alice Johnson,Phone,9.39,0.89,True,5
192,2025-01-07,2025-01-06,8,106,Frank Miller,Email,9.08,2.54,True,3
193,2025-01-07,2025-01-06,18,104,David Brown,Email,16.12,0.31,True,3
194,2025-01-07,2025-01-06,15,104,David Brown,Phone,14.66,0.01,True,5
195,2025-01-07,2025-01-06,15,105,Emma Davis,Email,17.84,1.56,True,4
196,2025-01-07,2025-01-06,19,105,Emma Davis,WhatsApp,6.59,0.26,True,5
197,2025-01-07,2025-01-06,16,102,Bob Smith,WhatsApp,10.14,0.21,True,5
198,2025-01-07,2025-01-06,17,106,Frank Miller,Phone,16.33,0.04,True,2
199,2025-01-07,2025-01-06,16,106,Frank Miller,Phone,14.72,2.88,True,4
200,2025-01-07,2025-01-06,18,104,David Brown,Phone,21.58,3.6,True,1
201,2025-01-07,2025-01-06,13,106,Frank Miller,Phone,23.2,2.83,True,2
202,2025-01-07,2025-01-06,17,104,David Brown,Email,14.43,0.97,True,2
203,2025-01-07,2025-01-06,18,102,Bob Smith,WhatsApp,13.46,3.82,True,3
204,2025-01-07,2025-01-06,17,103,Carol White,Chat,10.37,10.27,True,1
205,2025-01-07,2025-01-06,15,102,Bob Smith,Phone,9.03,1.09,True,1
206,2025-01-07,2025-01-06,9,106,Frank Miller,Email,12.48,4.02,False,2
207,2025-01-07,2025-01-06,17,101,Alice Johnson,WhatsApp,16.66,6.56,True,5
208,2025-01-07,2025-01-06,15,102,Bob Smith,Phone,16.6,4.36,True,1
209,2025-01-07,2025-01-06,18,102,Bob Smith,Phone,23.49,8.44,True,5
210,2025-01-07,2025-01-06,9,105,Emma Davis,Phone,23.4,1.62,True,4
211,2025-01-07,2025-01-06,18,105,Emma Davis,WhatsApp,14.93,5.68,True,3
212,2025-01-07,2025-01-06,10,106,Frank Miller,Phone,13.51,3.14,True,4
213,2025-01-07,2025-01-06,19,101,Alice Johnson,Email,10.42,0.06,True,5
214,2025-01-07,2025-01-06,18,103,Carol White,Phone,18.86,1.29,True,3
215,2025-01-07,2025-01-06,11,102,Bob Smith,Phone,5.64,1.58,True,4
216,2025-01-07,2025-01-06,16,102,Bob Smith,Chat,17.32,2.73,False,3
217,2025-01-07,2025-01-06,16,101,Alice Johnson,Phone,23.8,0.25,False,3
218,2025-01-07,2025-01-06,15,103,Carol White,Phone,19.76,1.13,True,3
219,2025-01-07,2025-01-06,17,105,Emma Davis,Chat,21.47,4.13,True,3
220,2025-01-07,2025-01-06,8,101,Alice Johnson,Phone,14.66,3.83,False,3
221,2025-01-07,2025-01-06,14,105,Emma Davis,Phone,10.76,2.88,True,3
222,2025-01-07,2025-01-06,14,102,Bob Smith,Email,18.99,0.08,True,5
223,2025-01-07,2025-01-06,16,105,Emma Davis,Chat,4.79,0.12,True,4
224,2025-01-07,2025-01-06,14,105,Emma Davis,Chat,8.3,12.24,True,1
225,2025-01-07,2025-01-06,16,105,Emma Davis,Phone,8.48,1.48,True,5
226,2025-01-07,2025-01-06,10,104,David Brown,Phone,15.55,1.81,True,1
227,2025-01-07,2025-01-06,11,101,Alice Johnson,WhatsApp,18.57,4.78,True,4
228,2025-01-07,2025-01-06,15,104,David Brown,WhatsApp,21.25,6.63,True,5
229,2025-01-07,2025-01-06,15,101,Alice Johnson,Chat,14.61,0.51,True,4
230,2025-01-07,2025-01-06,19,101,Alice Johnson,Phone,18.17,1.41,True,2
231,2025-01-07,2025-01-06,12,101,Alice Johnson,Email,11.47,0.31,False,2
232,2025-01-07,2025-01-06,15,103,Carol White,Email,7.27,8.2,True,1
233,2025-01-07,2025-01-06,16,106,Frank Miller,Chat,16.39,4.12,True,4
234,2025-01-07,2025-01-06,13,101,Alice Johnson,Phone,12.16,4.66,True,3
235,2025-01-07,2025-01-06,10,102,Bob Smith,Email,15.28,5.1,False,2
236,2025-01-07,2025-01-06,16,105,Emma Davis,WhatsApp,9.01,3.94,True,2
237,2025-01-07,2025-01-06,18,102,Bob Smith,Phone,18.61,2.71,False,3
238,2025-01-07,2025-01-06,13,103,Carol White,Phone,18.82,1.15,True,5
239,2025-01-07,2025-01-06,18,102,Bob Smith,Phone,19.9,6.37,True,2
240,2025-01-07,2025-01-06,8,102,Bob Smith,Email,12.84,4.29,True,1
241,2025-01-07,2025-01-06,19,103,Carol White,WhatsApp,17.3,0.63,True,3
242,2025-01-07,2025-01-06,9,102,Bob Smith,Email,4.01,3.64,True,3
243,2025-01-07,2025-01-06,14,104,David Brown,Phone,10.19,3.83,True,4
244,2025-01-07,2025-01-06,19,104,David Brown,WhatsApp,19.37,1.41,True,3
245,2025-01-07,2025-01-06,10,103,Carol White,Phone,15.0,8.23,True,5
246,2025-01-07,2025-01-06,17,102,Bob Smith,Phone,18.55,3.32,True,2
247,2025-01-07,2025-01-06,9,104,David Brown,Phone,18.21,0.29,True,2
248,2025-01-07,2025-01-06,18,103,Carol White,WhatsApp,1.47,3.06,True,5
249,2025-01-07,2025-01-06,17,105,Emma Davis,Chat,8.06,0.43,False,2
250,2025-01-07,2025-01-06,14,102,Bob Smith,Chat,17.06,5.37,False,3
251,2025-01-07,2025-01-06,12,103,Carol White,WhatsApp,10.05,3.53,True,5
252,2025-01-07,2025-01-06,13,105,Emma Davis,Phone,15.08,0.38,False,1
253,2025-01-07,2025-01-06,12,101,Alice Johnson,Chat,15.05,1.21,True,4
254,2025-01-07,2025-01-06,11,102,Bob Smith,Chat,10.31,4.29,True,1
255,2025-01-07,2025-01-06,18,104,David Brown,Chat,8.47,0.09,True,1
256,2025-01-07,2025-01-06,19,105,Emma Davis,Email,13.43,2.07,True,1
257,2025-01-07,2025-01-06,13,103,Carol White,Email,15.36,2.13,False,3
258,2025-01-07,2025-01-06,16,106,Frank Miller,Phone,28.04,3.1,True,5
259,2025-01-07,2025-01-06,9,105,Emma Davis,Phone,5.47,1.17,True,3
260,2025-01-07,2025-01-06,8,101,Alice Johnson,Phone,13.27,8.29,True,4
261,2025-01-07,2025-01-06,8,105,Emma Davis,WhatsApp,24.63,2.28,True,3
262,2025-01-07,2025-01-06,19,101,Alice Johnson,Email,27.56,5.92,True,4
263,2025-01-07,2025-01-06,11,106,Frank Miller,Phone,12.07,2.52,True,3
264,2025-01-07,2025-01-06,17,103,Carol White,WhatsApp,15.47,2.3,True,5
265,2025-01-07,2025-01-06,9,102,Bob Smith,Chat,10.8,3.16,False,3
266,2025-01-07,2025-01-06,14,103,Carol White,Email,16.58,2.44,True,4
267,2025-01-07,2025-01-06,17,103,Carol White,Phone,14.9,7.29,False,1
268,2025-01-07,2025-01-06,13,106,Frank Miller,Phone,16.48,0.52,True,2
269,2025-01-07,2025-01-06,15,101,Alice Johnson,Phone,16.5,0.88,True,5
270,2025-01-07,2025-01-06,10,103,Carol White,WhatsApp,17.01,16.26,True,2
271,2025-01-07,2025-01-06,8,104,David Brown,Email,11.01,1.11,True,1
272,2025-01-07,2025-01-06,15,102,Bob Smith,WhatsApp,17.74,1.91,True,2
273,2025-01-07,2025-01-06,17,104,David Brown,Chat,21.27,10.4,False,2
274,2025-01-07,2025-01-06,15,105,Emma Davis,Phone,18.55,0.83,True,1
275,2025-01-07,2025-01-06,14,102,Bob Smith,Phone,20.33,5.82,True,3
276,2025-01-07,2025-01-06,14,103,Carol White,Phone,12.69,1.41,True,3
277,2025-01-07,2025-01-06,15,102,Bob Smith,Chat,13.97,8.59,True,5
278,2025-01-07,2025-01-06,12,106,Frank Miller,Phone,12.83,0.03,True,2
279,2025-01-07,2025-01-06,19,103,Carol White,Phone,18.94,2.29,False,2
280,2025-01-07,2025-01-06,18,104,David Brown,Email,20.77,3.19,False,2
281,2025-01-07,2025-01-06,12,101,Alice Johnson,Phone,18.29,0.3,True,4
282,2025-01-07,2025-01-06,18,106,Frank Miller,Email,9.51,2.56,True,2
283,2025-01-07,2025-01-06,19,105,Emma Davis,Phone,16.89,4.94,False,2
284,2025-01-07,2025-01-06,12,103,Carol White,WhatsApp,20.16,9.55,True,3
285,2025-01-07,2025-01-06,12,102,Bob Smith,Phone,10.66,1.26,True,2
286,2025-01-07,2025-01-06,9,105,Emma Davis,Phone,15.59,7.3,True,1
287,2025-01-07,2025-01-06,17,103,Carol White,Chat,13.37,0.67,True,3
288,2025-01-07,2025-01-06,18,101,Alice Johnson,Phone,17.22,2.32,True,5
289,2025-01-07,2025-01-06,9,106,Frank Miller,Phone,13.42,2.25,False,2
290,2025-01-07,2025-01-06,16,101,Alice Johnson,Chat,17.03,0.92,True,2
291,2025-01-07,2025-01-06,10,104,David Brown,Phone,14.58,3.12,True,5
292,2025-01-07,2025-01-06,9,101,Alice Johnson,Chat,15.53,0.16,True,2
293,2025-01-07,2025-01-06,15,106,Frank Miller,Phone,16.52,2.06,False,2
294,2025-01-07,2025-01-06,17,103,Carol White,Phone,14.58,3.35,True,2
295,2025-01-07,2025-01-06,14,102,Bob Smith,Chat,10.97,6.28,False,3
296,2025-01-07,2025-01-06,9,103,Carol White,Chat,11.79,1.24,True,5
297,2025-01-07,2025-01-06,18,101,Alice Johnson,Phone,10.7,0.6,True,3
298,2025-01-07,2025-01-06,15,105,Emma Davis,Phone,16.47,1.38,True,1
299,2025-01-07,2025-01-06,8,104,David Brown,WhatsApp,25.18,8.88,True,1
300,2025-01-07,2025-01-06,17,104,David Brown,Phone,9.88,2.2,True,4
301,2025-01-07,2025-01-06,16,104,David Brown,Phone,10.48,7.61,True,1
302,2025-01-07,2025-01-06,15,102,Bob Smith,WhatsApp,10.61,1.17,True,5
303,2025-01-07,2025-01-06,11,106,Frank Miller,Email,13.09,4.23,True,2
304,2025-01-07,2025-01-06,15,105,Emma Davis,Chat,6.56,0.23,True,1
305,2025-01-07,2025-01-06,17,103,Carol White,Email,11.48,1.21,True,3
306,2025-01-07,2025-01-06,15,106,Frank Miller,WhatsApp,2.22,1.32,False,1
307,2025-01-07,2025-01-06,10,101,Alice Johnson,WhatsApp,12.8,0.04,True,2
308,2025-01-07,2025-01-06,15,105,Emma Davis,Email,12.45,1.03,True,3
309,2025-01-07,2025-01-06,15,103,Carol White,Phone,10.11,3.74,True,1
310,2025-01-08,2025-01-06,10,106,Frank Miller,Phone,12.06,1.32,True,5
311,2025-01-08,2025-01-06,18,101,Alice Johnson,Chat,17.68,1.18,True,2
312,2025-01-08,2025-01-06,14,103,Carol White,Phone,9.17,1.17,True,5
313,2025-01-08,2025-01-06,15,101,Alice Johnson,Email,13.12,1.01,True,5
314,2025-01-08,2025-01-06,12,102,Bob Smith,Phone,19.92,0.3,True,5
315,2025-01-08,2025-01-06,17,102,Bob Smith,Chat,20.56,7.34,True,2
316,2025-01-08,2025-01-06,18,102,Bob Smith,Phone,24.12,1.09,True,1
317,2025-01-08,2025-01-06,16,105,Emma Davis,Phone,12.5,6.38,True,5
318,2025-01-08,2025-01-06,17,104,David Brown,Phone,23.59,0.16,True,2
319,2025-01-08,2025-01-06,17,101,Alice Johnson,Email,10.34,0.25,True,4
320,2025-01-08,2025-01-06,18,105,Emma Davis,Email,15.44,8.17,True,3
321,2025-01-08,2025-01-06,11,106,Frank Miller,Phone,18.82,4.0,False,3
322,2025-01-08,2025-01-06,18,106,Frank Miller,Phone,14.7,1.97,True,4
323,2025-01-08,2025-01-06,13,105,Emma Davis,Phone,9.44,0.67,False,1
324,2025-01-08,2025-01-06,8,105,Emma Davis,Phone,10.5,2.42,True,3
